fpr,tpr,ppv,acc,npv,LR+,LR-,threshold
0.287,$0.869 \pm 0.038$,$0.029 \pm 0.001$,$0.714 \pm 0.000$,$0.998 \pm 0.000$,$3.058 \pm 0.164$,$0.181 \pm -0.05$,0.009018589903935531
0.288,$0.870 \pm 0.038$,$0.029 \pm 0.001$,$0.713 \pm 0.000$,$0.998 \pm 0.000$,$3.049 \pm 0.162$,$0.181 \pm -0.05$,0.008977417770226655
0.289,$0.871 \pm 0.038$,$0.029 \pm 0.001$,$0.712 \pm 0.000$,$0.998 \pm 0.000$,$3.040 \pm 0.160$,$0.180 \pm -0.05$,0.00893624563651778
0.29,$0.871 \pm 0.038$,$0.029 \pm 0.001$,$0.711 \pm 0.000$,$0.998 \pm 0.000$,$3.030 \pm 0.158$,$0.179 \pm -0.05$,0.008895073502808904
0.291,$0.872 \pm 0.038$,$0.029 \pm 0.001$,$0.710 \pm 0.000$,$0.998 \pm 0.000$,$3.021 \pm 0.156$,$0.179 \pm -0.05$,0.00885390136910003
0.292,$0.873 \pm 0.038$,$0.029 \pm 0.001$,$0.709 \pm 0.000$,$0.998 \pm 0.000$,$3.012 \pm 0.154$,$0.178 \pm -0.05$,0.008812729235391153
0.293,$0.874 \pm 0.038$,$0.029 \pm 0.001$,$0.708 \pm 0.000$,$0.998 \pm 0.000$,$3.003 \pm 0.152$,$0.177 \pm -0.05$,0.008771557101682278
0.294,$0.874 \pm 0.038$,$0.029 \pm 0.001$,$0.708 \pm 0.000$,$0.998 \pm 0.000$,$2.993 \pm 0.150$,$0.176 \pm -0.05$,0.008730384967973404
0.295,$0.875 \pm 0.037$,$0.029 \pm 0.001$,$0.707 \pm 0.000$,$0.998 \pm 0.000$,$2.984 \pm 0.147$,$0.176 \pm -0.05$,0.008689212834264527
0.296,$0.876 \pm 0.037$,$0.029 \pm 0.001$,$0.706 \pm 0.000$,$0.998 \pm 0.000$,$2.975 \pm 0.145$,$0.175 \pm -0.05$,0.008648040700555653
0.297,$0.876 \pm 0.037$,$0.029 \pm 0.001$,$0.705 \pm 0.000$,$0.998 \pm 0.000$,$2.965 \pm 0.143$,$0.174 \pm -0.05$,0.008606868566846776
0.298,$0.877 \pm 0.037$,$0.028 \pm 0.001$,$0.704 \pm 0.000$,$0.998 \pm 0.000$,$2.956 \pm 0.140$,$0.174 \pm -0.05$,0.008565696433137902
0.299,$0.878 \pm 0.037$,$0.028 \pm 0.001$,$0.703 \pm 0.001$,$0.998 \pm 0.000$,$2.947 \pm 0.138$,$0.173 \pm -0.05$,0.008524524299429025
0.3,$0.879 \pm 0.037$,$0.028 \pm 0.001$,$0.702 \pm 0.001$,$0.998 \pm 0.000$,$2.938 \pm 0.135$,$0.172 \pm -0.05$,0.00848335216572015
0.301,$0.879 \pm 0.037$,$0.028 \pm 0.001$,$0.701 \pm 0.001$,$0.998 \pm 0.000$,$2.928 \pm 0.132$,$0.171 \pm -0.05$,0.008442180032011276
0.302,$0.880 \pm 0.037$,$0.028 \pm 0.001$,$0.699 \pm 7.633$,$0.998 \pm 0.000$,$2.913 \pm 0.123$,$0.170 \pm -0.05$,0.008372807164811898
0.303,$0.881 \pm 0.037$,$0.028 \pm 0.001$,$0.698 \pm 8.448$,$0.998 \pm 0.000$,$2.906 \pm 0.123$,$0.170 \pm -0.05$,0.008344606431321398
0.304,$0.881 \pm 0.037$,$0.028 \pm 0.001$,$0.697 \pm 9.260$,$0.998 \pm 0.000$,$2.900 \pm 0.123$,$0.169 \pm -0.05$,0.008316405697830896
0.305,$0.882 \pm 0.036$,$0.028 \pm 0.001$,$0.696 \pm 0.000$,$0.998 \pm 0.000$,$2.893 \pm 0.123$,$0.169 \pm -0.05$,0.008288204964340394
0.306,$0.882 \pm 0.035$,$0.028 \pm 0.001$,$0.695 \pm 0.000$,$0.998 \pm 0.000$,$2.887 \pm 0.123$,$0.169 \pm -0.05$,0.008260004230849894
0.307,$0.882 \pm 0.035$,$0.028 \pm 0.001$,$0.694 \pm 0.000$,$0.998 \pm 0.000$,$2.880 \pm 0.122$,$0.168 \pm -0.05$,0.008231803497359393
0.308,$0.883 \pm 0.035$,$0.028 \pm 0.001$,$0.693 \pm 0.000$,$0.998 \pm 0.000$,$2.874 \pm 0.123$,$0.168 \pm -0.05$,0.00820360276386889
0.309,$0.883 \pm 0.035$,$0.028 \pm 0.001$,$0.692 \pm 0.000$,$0.998 \pm 0.000$,$2.867 \pm 0.124$,$0.167 \pm -0.05$,0.008175402030378389
0.31,$0.884 \pm 0.035$,$0.028 \pm 0.001$,$0.691 \pm 0.000$,$0.998 \pm 0.000$,$2.861 \pm 0.125$,$0.167 \pm -0.05$,0.008147201296887889
0.311,$0.884 \pm 0.035$,$0.028 \pm 0.001$,$0.690 \pm 0.000$,$0.998 \pm 0.000$,$2.854 \pm 0.126$,$0.167 \pm -0.05$,0.008119000563397387
0.312,$0.885 \pm 0.035$,$0.027 \pm 0.001$,$0.689 \pm 0.000$,$0.998 \pm 0.000$,$2.848 \pm 0.127$,$0.166 \pm -0.05$,0.008090799829906885
0.313,$0.885 \pm 0.035$,$0.027 \pm 0.001$,$0.688 \pm 0.000$,$0.998 \pm 0.000$,$2.841 \pm 0.127$,$0.166 \pm -0.05$,0.008062599096416385
0.314,$0.885 \pm 0.035$,$0.027 \pm 0.001$,$0.687 \pm 0.000$,$0.998 \pm 0.000$,$2.835 \pm 0.128$,$0.166 \pm -0.05$,0.008034398362925884
0.315,$0.886 \pm 0.035$,$0.027 \pm 0.001$,$0.686 \pm 0.000$,$0.998 \pm 0.000$,$2.828 \pm 0.129$,$0.165 \pm -0.05$,0.008006197629435382
0.316,$0.886 \pm 0.035$,$0.027 \pm 0.001$,$0.685 \pm 0.000$,$0.998 \pm 0.000$,$2.822 \pm 0.129$,$0.165 \pm -0.05$,0.007977996895944882
0.317,$0.887 \pm 0.035$,$0.027 \pm 0.001$,$0.684 \pm 0.000$,$0.998 \pm 0.000$,$2.815 \pm 0.130$,$0.164 \pm -0.05$,0.00794979616245438
0.318,$0.887 \pm 0.034$,$0.027 \pm 0.001$,$0.683 \pm 0.000$,$0.998 \pm 0.000$,$2.809 \pm 0.130$,$0.164 \pm -0.05$,0.007921595428963878
0.319,$0.887 \pm 0.034$,$0.027 \pm 0.001$,$0.682 \pm 0.000$,$0.998 \pm 0.000$,$2.802 \pm 0.131$,$0.164 \pm -0.05$,0.007893394695473378
0.32,$0.888 \pm 0.034$,$0.027 \pm 0.001$,$0.681 \pm 0.000$,$0.998 \pm 0.000$,$2.796 \pm 0.131$,$0.163 \pm -0.05$,0.007865193961982877
0.321,$0.888 \pm 0.034$,$0.027 \pm 0.001$,$0.680 \pm 0.000$,$0.998 \pm 0.000$,$2.789 \pm 0.132$,$0.163 \pm -0.05$,0.007836993228492375
0.322,$0.889 \pm 0.034$,$0.027 \pm 0.001$,$0.679 \pm 0.000$,$0.998 \pm 0.000$,$2.783 \pm 0.132$,$0.162 \pm -0.05$,0.007808792495001874
0.323,$0.889 \pm 0.034$,$0.027 \pm 0.001$,$0.678 \pm 0.000$,$0.998 \pm 0.000$,$2.776 \pm 0.132$,$0.162 \pm -0.04$,0.007780591761511373
0.324,$0.889 \pm 0.034$,$0.027 \pm 0.001$,$0.677 \pm 0.000$,$0.998 \pm 0.000$,$2.770 \pm 0.133$,$0.162 \pm -0.04$,0.007752391028020871
0.325,$0.890 \pm 0.034$,$0.027 \pm 0.001$,$0.676 \pm 0.000$,$0.998 \pm 0.000$,$2.763 \pm 0.133$,$0.161 \pm -0.04$,0.00772419029453037
0.326,$0.890 \pm 0.034$,$0.027 \pm 0.001$,$0.675 \pm 0.000$,$0.998 \pm 0.000$,$2.757 \pm 0.133$,$0.161 \pm -0.04$,0.0076959895610398685
0.327,$0.891 \pm 0.034$,$0.027 \pm 0.001$,$0.674 \pm 0.000$,$0.998 \pm 0.000$,$2.750 \pm 0.133$,$0.160 \pm -0.04$,0.007667788827549368
0.328,$0.891 \pm 0.034$,$0.026 \pm 0.001$,$0.673 \pm 0.000$,$0.998 \pm 0.000$,$2.744 \pm 0.133$,$0.160 \pm -0.04$,0.007639588094058867
0.329,$0.892 \pm 0.034$,$0.026 \pm 0.001$,$0.672 \pm 0.000$,$0.998 \pm 0.000$,$2.737 \pm 0.133$,$0.160 \pm -0.04$,0.007611387360568365
0.33,$0.892 \pm 0.034$,$0.026 \pm 0.001$,$0.671 \pm 0.000$,$0.998 \pm 0.000$,$2.731 \pm 0.133$,$0.159 \pm -0.04$,0.007583186627077864
0.331,$0.892 \pm 0.034$,$0.026 \pm 0.001$,$0.670 \pm 0.000$,$0.998 \pm 0.000$,$2.724 \pm 0.133$,$0.159 \pm -0.04$,0.007554985893587362
0.332,$0.893 \pm 0.034$,$0.026 \pm 0.001$,$0.669 \pm 0.000$,$0.998 \pm 0.000$,$2.718 \pm 0.133$,$0.158 \pm -0.04$,0.007526785160096861
0.333,$0.893 \pm 0.034$,$0.026 \pm 0.001$,$0.668 \pm 0.000$,$0.998 \pm 0.000$,$2.711 \pm 0.133$,$0.158 \pm -0.04$,0.0074985844266063605
0.334,$0.894 \pm 0.034$,$0.026 \pm 0.001$,$0.667 \pm 0.000$,$0.998 \pm 0.000$,$2.705 \pm 0.133$,$0.158 \pm -0.04$,0.007470383693115859
0.335,$0.894 \pm 0.034$,$0.026 \pm 0.001$,$0.666 \pm 0.000$,$0.998 \pm 0.000$,$2.698 \pm 0.132$,$0.157 \pm -0.04$,0.007442182959625358
0.336,$0.894 \pm 0.034$,$0.026 \pm 0.001$,$0.666 \pm 0.000$,$0.998 \pm 0.000$,$2.692 \pm 0.132$,$0.157 \pm -0.04$,0.007413982226134857
0.337,$0.895 \pm 0.033$,$0.026 \pm 0.001$,$0.665 \pm 0.000$,$0.998 \pm 0.000$,$2.685 \pm 0.132$,$0.156 \pm -0.04$,0.007385781492644355
0.338,$0.895 \pm 0.033$,$0.026 \pm 0.001$,$0.664 \pm 0.000$,$0.998 \pm 0.000$,$2.679 \pm 0.132$,$0.156 \pm -0.04$,0.007357580759153854
0.339,$0.896 \pm 0.033$,$0.026 \pm 0.001$,$0.663 \pm 0.000$,$0.998 \pm 0.000$,$2.672 \pm 0.131$,$0.156 \pm -0.04$,0.007329380025663353
0.34,$0.896 \pm 0.033$,$0.026 \pm 0.001$,$0.662 \pm 0.000$,$0.998 \pm 0.000$,$2.666 \pm 0.131$,$0.155 \pm -0.04$,0.0073011792921728515
0.341,$0.897 \pm 0.033$,$0.026 \pm 0.001$,$0.661 \pm 0.000$,$0.998 \pm 0.000$,$2.659 \pm 0.130$,$0.155 \pm -0.04$,0.007272978558682351
0.342,$0.897 \pm 0.033$,$0.026 \pm 0.001$,$0.660 \pm 0.000$,$0.998 \pm 0.000$,$2.653 \pm 0.130$,$0.154 \pm -0.04$,0.007244777825191849
0.343,$0.897 \pm 0.033$,$0.026 \pm 0.001$,$0.659 \pm 0.000$,$0.998 \pm 0.000$,$2.646 \pm 0.130$,$0.154 \pm -0.04$,0.007216577091701348
0.344,$0.898 \pm 0.033$,$0.025 \pm 0.001$,$0.658 \pm 0.000$,$0.998 \pm 0.000$,$2.640 \pm 0.129$,$0.154 \pm -0.04$,0.007188376358210846
0.345,$0.898 \pm 0.033$,$0.025 \pm 0.001$,$0.657 \pm 0.000$,$0.998 \pm 0.000$,$2.633 \pm 0.128$,$0.153 \pm -0.04$,0.007160175624720345
0.346,$0.899 \pm 0.033$,$0.025 \pm 0.001$,$0.656 \pm 0.000$,$0.998 \pm 0.000$,$2.627 \pm 0.128$,$0.153 \pm -0.04$,0.007131974891229844
0.347,$0.899 \pm 0.033$,$0.025 \pm 0.001$,$0.655 \pm 0.000$,$0.998 \pm 0.000$,$2.620 \pm 0.127$,$0.152 \pm -0.04$,0.007103774157739343
0.348,$0.899 \pm 0.033$,$0.025 \pm 0.001$,$0.654 \pm 0.000$,$0.998 \pm 0.000$,$2.614 \pm 0.127$,$0.152 \pm -0.04$,0.007075573424248842
0.349,$0.900 \pm 0.033$,$0.025 \pm 0.001$,$0.653 \pm 0.000$,$0.998 \pm 0.000$,$2.607 \pm 0.126$,$0.152 \pm -0.04$,0.007047372690758341
0.35,$0.900 \pm 0.033$,$0.025 \pm 0.001$,$0.652 \pm 0.000$,$0.998 \pm 0.000$,$2.601 \pm 0.125$,$0.151 \pm -0.04$,0.007019171957267839
0.351,$0.901 \pm 0.033$,$0.025 \pm 0.001$,$0.651 \pm 0.000$,$0.998 \pm 0.000$,$2.594 \pm 0.124$,$0.151 \pm -0.04$,0.006990971223777338
0.352,$0.901 \pm 0.033$,$0.025 \pm 0.001$,$0.650 \pm 0.000$,$0.998 \pm 0.000$,$2.588 \pm 0.123$,$0.151 \pm -0.04$,0.006962770490286837
0.353,$0.901 \pm 0.033$,$0.025 \pm 0.001$,$0.649 \pm 0.000$,$0.998 \pm 0.000$,$2.581 \pm 0.123$,$0.150 \pm -0.04$,0.0069345697567963355
0.354,$0.902 \pm 0.033$,$0.025 \pm 0.001$,$0.648 \pm 0.000$,$0.998 \pm 0.000$,$2.574 \pm 0.122$,$0.150 \pm -0.04$,0.006906369023305835
0.355,$0.902 \pm 0.032$,$0.025 \pm 0.001$,$0.647 \pm 0.000$,$0.998 \pm 0.000$,$2.568 \pm 0.121$,$0.149 \pm -0.04$,0.006878168289815333
0.356,$0.903 \pm 0.032$,$0.025 \pm 0.001$,$0.646 \pm 0.000$,$0.998 \pm 0.000$,$2.561 \pm 0.120$,$0.149 \pm -0.04$,0.006849967556324832
0.357,$0.903 \pm 0.032$,$0.025 \pm 0.001$,$0.645 \pm 0.000$,$0.998 \pm 0.000$,$2.555 \pm 0.119$,$0.149 \pm -0.04$,0.00682176682283433
0.358,$0.904 \pm 0.032$,$0.025 \pm 0.001$,$0.644 \pm 0.000$,$0.998 \pm 0.000$,$2.548 \pm 0.118$,$0.148 \pm -0.04$,0.006793566089343829
0.359,$0.904 \pm 0.032$,$0.025 \pm 0.001$,$0.643 \pm 0.000$,$0.998 \pm 0.000$,$2.542 \pm 0.117$,$0.148 \pm -0.04$,0.006765365355853328
0.36,$0.904 \pm 0.032$,$0.024 \pm 0.001$,$0.642 \pm 0.000$,$0.998 \pm 0.000$,$2.535 \pm 0.116$,$0.147 \pm -0.04$,0.0067371646223628266
0.361,$0.905 \pm 0.032$,$0.024 \pm 0.001$,$0.641 \pm 0.000$,$0.998 \pm 0.000$,$2.529 \pm 0.115$,$0.147 \pm -0.04$,0.006708963888872326
0.362,$0.905 \pm 0.032$,$0.024 \pm 0.001$,$0.640 \pm 0.000$,$0.998 \pm 0.000$,$2.522 \pm 0.114$,$0.147 \pm -0.04$,0.006680763155381825
0.363,$0.906 \pm 0.032$,$0.024 \pm 0.001$,$0.639 \pm 0.000$,$0.998 \pm 0.000$,$2.516 \pm 0.112$,$0.146 \pm -0.04$,0.006652562421891323
0.364,$0.906 \pm 0.032$,$0.024 \pm 0.001$,$0.638 \pm 0.000$,$0.998 \pm 0.000$,$2.509 \pm 0.111$,$0.146 \pm -0.04$,0.006624361688400822
0.365,$0.906 \pm 0.032$,$0.024 \pm 0.001$,$0.637 \pm 0.000$,$0.998 \pm 0.000$,$2.503 \pm 0.110$,$0.145 \pm -0.04$,0.006596160954910321
0.366,$0.907 \pm 0.032$,$0.024 \pm 0.001$,$0.636 \pm 0.000$,$0.998 \pm 0.000$,$2.496 \pm 0.108$,$0.145 \pm -0.04$,0.006567960221419819
0.367,$0.907 \pm 0.032$,$0.024 \pm 0.000$,$0.635 \pm -7.19$,$0.998 \pm 0.000$,$2.490 \pm 0.103$,$0.145 \pm -0.04$,0.0065397594879293185
0.368,$0.908 \pm 0.032$,$0.024 \pm 0.000$,$0.634 \pm -0.00$,$0.998 \pm 0.000$,$2.483 \pm 0.101$,$0.144 \pm -0.04$,0.006511558754438817
0.369,$0.908 \pm 0.032$,$0.024 \pm 0.000$,$0.633 \pm -0.00$,$0.998 \pm 0.000$,$2.477 \pm 0.100$,$0.144 \pm -0.04$,0.006483358020948316
0.37,$0.909 \pm 0.032$,$0.024 \pm 0.000$,$0.632 \pm -0.00$,$0.998 \pm 0.000$,$2.470 \pm 0.098$,$0.143 \pm -0.04$,0.006455157287457814
0.371,$0.909 \pm 0.032$,$0.024 \pm 0.000$,$0.631 \pm -0.00$,$0.998 \pm 0.000$,$2.464 \pm 0.097$,$0.143 \pm -0.05$,0.006426956553967313
0.372,$0.909 \pm 0.032$,$0.024 \pm 0.000$,$0.630 \pm -0.00$,$0.998 \pm 0.000$,$2.457 \pm 0.096$,$0.143 \pm -0.05$,0.006398755820476812
0.373,$0.910 \pm 0.032$,$0.024 \pm 0.000$,$0.629 \pm -0.00$,$0.998 \pm 0.000$,$2.451 \pm 0.094$,$0.142 \pm -0.05$,0.0063705550869863105
0.374,$0.910 \pm 0.032$,$0.024 \pm 0.000$,$0.628 \pm -0.00$,$0.998 \pm 0.000$,$2.444 \pm 0.093$,$0.142 \pm -0.05$,0.00634235435349581
0.375,$0.911 \pm 0.032$,$0.024 \pm 0.000$,$0.627 \pm -0.00$,$0.998 \pm 0.000$,$2.438 \pm 0.091$,$0.141 \pm -0.05$,0.006314153620005309
0.376,$0.911 \pm 0.032$,$0.023 \pm 0.000$,$0.626 \pm -0.00$,$0.998 \pm 0.000$,$2.431 \pm 0.090$,$0.141 \pm -0.05$,0.006285952886514807
0.377,$0.911 \pm 0.032$,$0.023 \pm 0.000$,$0.625 \pm -0.00$,$0.998 \pm 0.000$,$2.425 \pm 0.088$,$0.141 \pm -0.05$,0.006257752153024306
0.378,$0.912 \pm 0.032$,$0.023 \pm 0.000$,$0.624 \pm -0.00$,$0.998 \pm 0.000$,$2.418 \pm 0.087$,$0.140 \pm -0.05$,0.006229551419533805
0.379,$0.912 \pm 0.031$,$0.023 \pm 0.000$,$0.623 \pm -0.00$,$0.998 \pm 0.000$,$2.412 \pm 0.085$,$0.140 \pm -0.05$,0.006201350686043303
0.38,$0.913 \pm 0.031$,$0.023 \pm 0.000$,$0.622 \pm -0.00$,$0.998 \pm 0.000$,$2.405 \pm 0.084$,$0.139 \pm -0.05$,0.006173149952552802
0.381,$0.913 \pm 0.031$,$0.023 \pm 0.000$,$0.621 \pm -0.00$,$0.998 \pm 0.000$,$2.399 \pm 0.082$,$0.139 \pm -0.05$,0.0061449492190623015
0.382,$0.914 \pm 0.032$,$0.023 \pm 0.000$,$0.620 \pm -0.00$,$0.998 \pm 0.000$,$2.388 \pm 0.075$,$0.138 \pm -0.04$,0.006095683621667976
0.383,$0.914 \pm 0.032$,$0.023 \pm 0.000$,$0.619 \pm -0.00$,$0.998 \pm 0.000$,$2.383 \pm 0.076$,$0.138 \pm -0.04$,0.006074618757764152
0.384,$0.915 \pm 0.031$,$0.023 \pm 0.000$,$0.618 \pm -0.00$,$0.998 \pm 0.000$,$2.378 \pm 0.076$,$0.138 \pm -0.04$,0.006053553893860328
0.385,$0.915 \pm 0.031$,$0.023 \pm 0.000$,$0.617 \pm -0.00$,$0.998 \pm 0.000$,$2.373 \pm 0.076$,$0.137 \pm -0.04$,0.0060324890299565045
0.386,$0.915 \pm 0.031$,$0.023 \pm 0.000$,$0.616 \pm -0.00$,$0.998 \pm 0.000$,$2.369 \pm 0.076$,$0.137 \pm -0.04$,0.006011424166052681
0.387,$0.916 \pm 0.031$,$0.023 \pm 0.000$,$0.615 \pm -0.00$,$0.998 \pm 0.000$,$2.364 \pm 0.075$,$0.136 \pm -0.04$,0.005990359302148857
0.388,$0.916 \pm 0.031$,$0.023 \pm 0.000$,$0.614 \pm -0.00$,$0.998 \pm 0.000$,$2.359 \pm 0.074$,$0.136 \pm -0.04$,0.005969294438245033
0.389,$0.916 \pm 0.030$,$0.023 \pm 0.000$,$0.613 \pm -0.00$,$0.998 \pm 0.000$,$2.354 \pm 0.075$,$0.136 \pm -0.04$,0.005948229574341209
0.39,$0.917 \pm 0.030$,$0.023 \pm 0.000$,$0.612 \pm -0.00$,$0.998 \pm 0.000$,$2.350 \pm 0.075$,$0.135 \pm -0.04$,0.0059271647104373855
0.391,$0.917 \pm 0.030$,$0.023 \pm 0.000$,$0.611 \pm -0.00$,$0.998 \pm 0.000$,$2.345 \pm 0.075$,$0.135 \pm -0.04$,0.005906099846533562
0.392,$0.917 \pm 0.030$,$0.023 \pm 0.000$,$0.610 \pm -0.00$,$0.998 \pm 0.000$,$2.340 \pm 0.075$,$0.135 \pm -0.04$,0.005885034982629738
0.393,$0.918 \pm 0.030$,$0.023 \pm 0.000$,$0.609 \pm -0.00$,$0.998 \pm 0.000$,$2.335 \pm 0.075$,$0.134 \pm -0.04$,0.005863970118725914
0.394,$0.918 \pm 0.030$,$0.023 \pm 0.000$,$0.608 \pm -0.00$,$0.998 \pm 0.000$,$2.330 \pm 0.075$,$0.134 \pm -0.04$,0.00584290525482209
0.395,$0.918 \pm 0.030$,$0.022 \pm 0.000$,$0.607 \pm -0.00$,$0.998 \pm 0.000$,$2.326 \pm 0.075$,$0.134 \pm -0.04$,0.0058218403909182665
0.396,$0.919 \pm 0.030$,$0.022 \pm 0.000$,$0.607 \pm -0.00$,$0.998 \pm 0.000$,$2.321 \pm 0.075$,$0.133 \pm -0.04$,0.005800775527014443
0.397,$0.919 \pm 0.030$,$0.022 \pm 0.000$,$0.606 \pm -0.00$,$0.998 \pm 0.000$,$2.316 \pm 0.074$,$0.133 \pm -0.04$,0.005779710663110619
0.398,$0.919 \pm 0.030$,$0.022 \pm 0.000$,$0.605 \pm -0.00$,$0.998 \pm 0.000$,$2.311 \pm 0.074$,$0.133 \pm -0.04$,0.005758645799206795
0.399,$0.920 \pm 0.030$,$0.022 \pm 0.000$,$0.604 \pm -8.28$,$0.998 \pm 0.000$,$2.307 \pm 0.074$,$0.132 \pm -0.04$,0.005737580935302971
0.4,$0.920 \pm 0.030$,$0.022 \pm 0.000$,$0.603 \pm -2.72$,$0.998 \pm 0.000$,$2.302 \pm 0.074$,$0.132 \pm -0.04$,0.0057165160713991475
0.401,$0.920 \pm 0.030$,$0.022 \pm 0.000$,$0.602 \pm 2.832$,$0.998 \pm 0.000$,$2.297 \pm 0.074$,$0.131 \pm -0.04$,0.005695451207495324
0.402,$0.921 \pm 0.030$,$0.022 \pm 0.000$,$0.600 \pm -0.00$,$0.998 \pm 0.000$,$2.288 \pm 0.069$,$0.131 \pm -0.04$,0.005658755377189687
0.403,$0.921 \pm 0.030$,$0.022 \pm 0.000$,$0.599 \pm -0.00$,$0.998 \pm 0.000$,$2.283 \pm 0.069$,$0.130 \pm -0.04$,0.005642306349432775
0.404,$0.922 \pm 0.030$,$0.022 \pm 0.000$,$0.598 \pm -0.00$,$0.998 \pm 0.000$,$2.279 \pm 0.069$,$0.130 \pm -0.04$,0.005625857321675862
0.405,$0.922 \pm 0.030$,$0.022 \pm 0.000$,$0.597 \pm -0.00$,$0.998 \pm 0.000$,$2.275 \pm 0.069$,$0.130 \pm -0.04$,0.005609408293918949
0.406,$0.922 \pm 0.030$,$0.022 \pm 0.000$,$0.596 \pm -0.00$,$0.998 \pm 0.000$,$2.270 \pm 0.069$,$0.130 \pm -0.04$,0.005592959266162036
0.407,$0.923 \pm 0.029$,$0.022 \pm 0.000$,$0.595 \pm -0.00$,$0.998 \pm 0.000$,$2.266 \pm 0.069$,$0.129 \pm -0.04$,0.005576510238405124
0.408,$0.923 \pm 0.029$,$0.022 \pm 0.000$,$0.594 \pm -0.00$,$0.998 \pm 0.000$,$2.261 \pm 0.069$,$0.129 \pm -0.04$,0.0055600612106482105
0.409,$0.923 \pm 0.029$,$0.022 \pm 0.000$,$0.593 \pm -0.00$,$0.998 \pm 0.000$,$2.257 \pm 0.069$,$0.129 \pm -0.04$,0.0055436121828912974
0.41,$0.923 \pm 0.029$,$0.022 \pm 0.000$,$0.592 \pm -0.00$,$0.998 \pm 0.000$,$2.253 \pm 0.069$,$0.128 \pm -0.04$,0.005527163155134385
0.411,$0.924 \pm 0.029$,$0.022 \pm 0.000$,$0.591 \pm -0.00$,$0.998 \pm 0.000$,$2.248 \pm 0.069$,$0.128 \pm -0.04$,0.005510714127377472
0.412,$0.924 \pm 0.029$,$0.022 \pm 0.000$,$0.590 \pm -0.00$,$0.998 \pm 0.000$,$2.244 \pm 0.069$,$0.128 \pm -0.04$,0.005494265099620559
0.413,$0.924 \pm 0.029$,$0.022 \pm 0.000$,$0.589 \pm -0.00$,$0.998 \pm 0.000$,$2.239 \pm 0.069$,$0.127 \pm -0.04$,0.005477816071863646
0.414,$0.925 \pm 0.029$,$0.022 \pm 0.000$,$0.588 \pm -0.00$,$0.998 \pm 0.000$,$2.235 \pm 0.069$,$0.127 \pm -0.04$,0.005461367044106734
0.415,$0.925 \pm 0.029$,$0.022 \pm 0.000$,$0.587 \pm -0.00$,$0.998 \pm 0.000$,$2.230 \pm 0.069$,$0.127 \pm -0.04$,0.005444918016349821
0.416,$0.925 \pm 0.029$,$0.021 \pm 0.000$,$0.586 \pm -0.00$,$0.998 \pm 0.000$,$2.226 \pm 0.069$,$0.127 \pm -0.04$,0.005428468988592908
0.417,$0.926 \pm 0.029$,$0.021 \pm 0.000$,$0.585 \pm -0.00$,$0.998 \pm 0.000$,$2.222 \pm 0.069$,$0.126 \pm -0.04$,0.005412019960835995
0.418,$0.926 \pm 0.029$,$0.021 \pm 0.000$,$0.585 \pm -0.00$,$0.998 \pm 0.000$,$2.217 \pm 0.069$,$0.126 \pm -0.04$,0.0053955709330790825
0.419,$0.926 \pm 0.029$,$0.021 \pm 0.000$,$0.584 \pm -0.00$,$0.998 \pm 0.000$,$2.213 \pm 0.069$,$0.126 \pm -0.04$,0.005379121905322169
0.42,$0.926 \pm 0.028$,$0.021 \pm 0.000$,$0.583 \pm -0.00$,$0.998 \pm 0.000$,$2.208 \pm 0.068$,$0.125 \pm -0.04$,0.005362672877565256
0.421,$0.927 \pm 0.028$,$0.021 \pm 0.000$,$0.582 \pm -0.00$,$0.998 \pm 0.000$,$2.204 \pm 0.068$,$0.125 \pm -0.04$,0.005346223849808344
0.422,$0.927 \pm 0.028$,$0.021 \pm 0.000$,$0.581 \pm -0.00$,$0.998 \pm 0.000$,$2.200 \pm 0.068$,$0.125 \pm -0.04$,0.005329774822051431
0.423,$0.927 \pm 0.028$,$0.021 \pm 0.000$,$0.580 \pm -0.00$,$0.998 \pm 0.000$,$2.195 \pm 0.068$,$0.124 \pm -0.04$,0.005313325794294518
0.424,$0.928 \pm 0.028$,$0.021 \pm 0.000$,$0.579 \pm -0.00$,$0.998 \pm 0.000$,$2.191 \pm 0.068$,$0.124 \pm -0.04$,0.005296876766537605
0.425,$0.928 \pm 0.028$,$0.021 \pm 0.000$,$0.578 \pm -0.00$,$0.998 \pm 0.000$,$2.186 \pm 0.068$,$0.124 \pm -0.04$,0.005280427738780693
0.426,$0.928 \pm 0.028$,$0.021 \pm 0.000$,$0.577 \pm -0.00$,$0.998 \pm 0.000$,$2.182 \pm 0.067$,$0.123 \pm -0.04$,0.00526397871102378
0.427,$0.929 \pm 0.028$,$0.021 \pm 0.000$,$0.576 \pm -0.00$,$0.998 \pm 0.000$,$2.177 \pm 0.067$,$0.123 \pm -0.04$,0.005247529683266867
0.428,$0.929 \pm 0.028$,$0.021 \pm 0.000$,$0.575 \pm -0.00$,$0.998 \pm 0.000$,$2.173 \pm 0.067$,$0.123 \pm -0.04$,0.005231080655509954
0.429,$0.929 \pm 0.028$,$0.021 \pm 0.000$,$0.574 \pm -0.00$,$0.998 \pm 0.000$,$2.169 \pm 0.066$,$0.123 \pm -0.04$,0.005214631627753041
